anonymous-20111203-hyj/wav/ru_0095,в гладких стенах узкие как щели глубокие отверстия окон,V G L A 0 T K 0 I H S 0 T 0 I N A 0 H U 0 S K 0 I J I K A 0 K S H 0 E 0 L 0 I G L U B O 0 K 0 I J I A T V 0 E 0 R S 0 T 0 I J A O 0 K A N
anonymous-20111211-hhu/wav/ru_0067,его ярко освещённая внутренность из стёганой ромбами жёлтой кожи была видна сквозь круглое отверстие люка,J I G O 0 J A 0 R K A S V 0 I S H 0 O 0 N A J A V N U 0 T R 0 I N A S 0 T 0 I S S 0 T 0 O 0 G A N A J R O 0 M B A M 0 I Z H O 0 L T A J K O 0 Z H Y B Y L A 0 V 0 I 0 D N A S K V O 0 S 0 K R U 0 G L A J I A T V 0 E 0 R S 0 T 0 I J I L 0 U 0 K A
anonymous-20111211-hhu/wav/ru_0068,недолго ждать когда пошатнётся даже разум единственные цепи на этом чудовище,N 0 I D O 0 L G A Z H D A 0 T 0 K A G D A 0 P A S H A T 0 N 0 O 0 C A D A 0 Z H Y R A 0 Z U M J I D 0 I 0 N S T V 0 I N Y J I C E 0 P 0 I N A E 0 T A M C H U D O 0 V 0 I S H 0 I
anonymous-20111211-hhu/wav/ru_0069,в молчании теперь тысячи людей глядели на квадратные освещённые окна сарая,V M A L C H A 0 N 0 I T 0 I P 0 E 0 R 0 T Y 0 S 0 I C H I L 0 U D 0 E 0 J G L 0 I D 0 E 0 L 0 I N A K V A D R A 0 T N Y J I A S V 0 I S H 0 O 0 N Y J I O 0 K N A S A R A 0 J A
anonymous-20111211-hhu/wav/ru_0070,электричество было потушено и бледный свет проникал сквозь стёкла глазков,I L 0 I K T R 0 I 0 C H I S T V A B Y 0 L A P A T U 0 S H Y N A I B L 0 E 0 D N Y J S V 0 E 0 T P R A N 0 I K A 0 L S K V O 0 S 0 T 0 O 0 K L A G L A S K O 0 F
anonymous-20111211-hhu/wav/ru_0071,лось чувствовал сердце бьётся чаще чаще уже не бьётся трепещет мучительно,L O 0 S 0 C H U 0 F S T V A V A L S 0 E 0 R C Y B 0 J O 0 C A C H A 0 S H 0 I C H A 0 S H 0 I U 0 Z H Y N 0 I B 0 J O 0 C A T R 0 I P 0 E 0 S H 0 I T M U C H I 0 T 0 I L 0 N A
anonymous-20111211-hhu/wav/ru_0073,в один из глазков входил прямой ослепительный луч солнца,V A D 0 I 0 N Y Z G L A S K O 0 V F H A D 0 I 0 L P R 0 I M O 0 J A S 0 L 0 I P 0 I 0 T 0 I L 0 N Y J L U 0 C H S O 0 N C A
anonymous-20111211-hhu/wav/ru_0074,лось с трудом оторвался от этого зрелища живоносного огня вселенной,L O 0 S 0 S T R U D O 0 M A T A R V A 0 L S 0 A T E 0 T A V A Z R 0 E 0 L 0 I S H 0 A Z H Y V A N O 0 S N A V A G N 0 A 0 F S 0 I L 0 E 0 N A J
anonymous-20111211-hhu/wav/ru_0075,теперь уже ясно можно было видеть резкие длинные тени от скал они тянулись через оголённую ледяную равнину,T 0 I P 0 E 0 R 0 U 0 Z H Y J A 0 S N A M O 0 Z H N A B Y 0 L A V 0 I 0 D 0 I T 0 R 0 E 0 S K 0 I J I D 0 L 0 I 0 N Y J I T 0 E 0 N 0 I A T S K A 0 L A N 0 I 0 T 0 I N U 0 L 0 I S 0 C H I R 0 I Z A G A L 0 O 0 N U J U L 0 I D 0 I N U 0 J U R A V N 0 I 0 N U
anonymous-20111211-hhu/wav/ru_0076,несколько линий точек и полукружий разбросано к западу и востоку от этой экваториальной группы,N 0 E 0 S K A L 0 K A L 0 I 0 N 0 I J T O 0 C H I K Y P A L U K R U 0 Z H Y J R A Z B R O 0 S A N A G Z A 0 P A D U I V A S T O 0 K U A T E 0 T A J I K V A T A R 0 I A 0 L 0 N A J G R U 0 P Y
anonymous-20111211-hhu/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
anonymous-20111212-ytn/wav/ru_0030,быть может от этого именно удара погиб материк лежавший на запад от африки в атлантическом океане,B Y 0 T 0 M O 0 Z H Y T A T E 0 T A V A I M 0 I N O 0 U D A 0 R A P A G 0 I 0 P M A T 0 I R 0 I 0 K L 0 I Z H A 0 F S H Y J N A Z A 0 P A T A T A 0 F R 0 I K 0 I V A T L A N 0 T 0 I 0 C H I S K A M A K 0 I A 0 N 0 I
anonymous-20111212-ytn/wav/ru_0031,поэтому я кладу на весь перелёт в безвоздушном пространстве шесть семь часов,P A E 0 T A M U J A 0 K L A D U 0 N A V 0 E 0 S 0 P 0 I R 0 I L 0 O 0 T V B 0 I Z V A Z D U 0 S H N A M P R A S T R A 0 N S T V 0 I S H E 0 S 0 T 0 S 0 E 0 M 0 C H I S O 0 F
anonymous-20111212-ytn/wav/ru_0032,через несколько лет путешествие на марс будет не более сложно чем перелёт из москвы в берлин,C H I R 0 I Z N 0 E 0 S K A L 0 K A L 0 E 0 T P U T 0 I S H E 0 S T V 0 I J I N A M A 0 R Z B U 0 D 0 I T N 0 I B O 0 L 0 I J I S L O 0 Z H N A C H E 0 M P 0 I R 0 I L 0 O 0 T Y Z M A S K V Y 0 V B 0 I R L 0 I 0 N
anonymous-20111212-ytn/wav/ru_0033,на глаз скайльс определил что яйцеобразный аппарат был не менее восьми с половиной метров высоты и шести метров в поперечнике,N A G L A 0 S K A 0 J L 0 S A P R 0 I D 0 I L 0 I 0 L S H T O J I J C Y A B R A 0 Z N Y J A P A R A 0 D B Y 0 L N 0 I M 0 E 0 N 0 I J I V A S 0 M 0 I 0 S P A L A V 0 I 0 N A J M 0 E 0 T R A V Y S A T Y 0 I S H Y S 0 T 0 I 0 M 0 E 0 T R A V F P A P 0 I R 0 E 0 C H N 0 I K 0 I
anonymous-20111212-ytn/wav/ru_0034,его окружала двойная массивной стали круглая спираль свёрнутая в противоположные стороны буфер,J I G O 0 A K R U Z H A 0 L A D V A J N A 0 J A M A S 0 I 0 V N A J S T A 0 L 0 I K R U 0 G L A J A S P 0 I R A 0 L 0 S V 0 O 0 R N U T A J A F P R A T 0 I V A P A L O 0 Z H N Y J I S T O 0 R A N Y B U 0 F 0 I R
anonymous-20111212-ytn/wav/ru_0035,аппарат был построен из мягкой и тугоплавкой стали внутри хорошо укреплён рёбрами и лёгкими фермами,A P A R A 0 D B Y 0 L P A S T R O 0 J I N Y Z M 0 A 0 H K A J I T U G A P L A 0 F K A J S T A 0 L 0 I V N U T R 0 I 0 H A R A S H O 0 U K R 0 I P L 0 O 0 N R 0 O 0 B R A M 0 I L 0 O 0 H 0 K 0 I M 0 I F 0 E 0 R M A M 0 I
anonymous-20111212-ytn/wav/ru_0036,внутри этого второго кожаного стёганого яйца находились аппараты наблюдения и движения кислородные баки ящики для поглощения углекислоты полые подушки для инструментов и провизии,V N U T R 0 I 0 E 0 T A V A F T A R O 0 V A K O 0 Z H A N A V A S 0 T 0 O 0 G A N A V A J I J C A 0 N A H A D 0 I 0 L 0 I S 0 A P A R A 0 T Y N A B L 0 U D 0 E 0 N 0 I J A I D V 0 I Z H E 0 N 0 I J A K 0 I S L A R O 0 D N Y J I B A 0 K 0 I J A 0 S H 0 I K 0 I D 0 L 0 A P A G L A S H 0 E 0 N 0 I J A U G L 0 I K 0 I S L A T Y 0 P O 0 L Y J I P A D U 0 S H K 0 I D 0 L 0 A I N S T R U M 0 E 0 N T A V Y P R A V 0 I 0 Z 0 I
anonymous-20111212-ytn/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
anonymous-20111212-ytn/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
anonymous-20111212-ytn/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
anonymous-20111216-scb/wav/ru_0079,казалось из чёрной бездны он сам теперь летел на них,K A Z A 0 L A S 0 I S C H O 0 R N A J B 0 E 0 Z N Y O 0 N S A 0 M T 0 I P 0 E 0 R 0 L 0 I T 0 E 0 L N A N 0 I 0 H
anonymous-20111216-scb/wav/ru_0080,аппарат прорезывал облака над тусклой равниной и ревя и сотрясаясь медленно теперь опускался садимся успел только крикнуть лось и выключил двигатель,A P A R A 0 T P R A R 0 E 0 Z Y V A L A B L A K A 0 N A T U 0 S K L A J R A V N 0 I 0 N A J I R 0 I V 0 A 0 I S A T R 0 I S A 0 J I S 0 M 0 E 0 D 0 L 0 I N A T 0 I P 0 E 0 R 0 A P U S K A 0 L S 0 A S A 0 D 0 I M S 0 A U S P 0 E 0 L T O 0 L 0 K A K R 0 I 0 K N U T 0 L O 0 S 0 I V Y 0 K L 0 U C H I L D V 0 I 0 G A T 0 I L 0
anonymous-20111216-scb/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
anonymous-20111216-scb/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
anonymous-20111216-scb/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
anonymous-20111216-scb/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
anonymous-20111216-scb/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
anonymous-20111216-scb/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
anonymous-20111216-scb/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
anonymous-20111216-scb/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
anonymous-20120106-lce/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
anonymous-20120106-lce/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
anonymous-20120106-lce/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
anonymous-20120106-lce/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
anonymous-20120106-lce/wav/ru_0088,привычной хваткой расстегнул кобуру вытащил револьвер эй закричал он кто там у аппарат так вашу эдак,P R 0 I V Y 0 C H N A J H V A 0 T K A J R A S S 0 T 0 I G N U 0 L K A B U R U 0 V Y 0 T A S H 0 I L R 0 I V A L 0 V 0 E 0 R E 0 J Z A K R 0 I C H A 0 L O 0 N K T O 0 T A 0 M U A P A R A 0 T A 0 K V A 0 S H U E 0 D A K
anonymous-20120106-lce/wav/ru_0089,от берега до ближайшей кущи деревьев лось и гусев шли по горелому бурому праху перепрыгивали через обсыпавшиеся неширокие каналы огибали высохшие прудики,A D B 0 E 0 R 0 I G A D A B L 0 I Z H A 0 J S H Y J K U 0 S H 0 I D 0 I R 0 E 0 V 0 J I V L O 0 S 0 I G U 0 S 0 I F S H L 0 I 0 P A G A R 0 E 0 L A M U B U 0 R A M U P R A 0 H U P 0 I R 0 I P R Y 0 G 0 I V A L 0 I C H I R 0 I Z A P S Y 0 P A F S H Y J I S 0 A N 0 I S H Y R O 0 K 0 I J I K A N A 0 L Y A G 0 I B A 0 L 0 I V Y 0 S A H S H Y J I P R U 0 D 0 I K 0 I
anonymous-20120106-lce/wav/ru_0093,гусев нагнулся и пхнул ногой из-под праха покатился проломанный человеческий череп в зубах его блеснуло золото,G U 0 S 0 I V N A G N U 0 L S 0 A I P H N U 0 L N A G O 0 J I S P A T P R A 0 H A P A K A T 0 I 0 L S 0 A P R A L O 0 M A N Y J C H I L A V 0 E 0 C H I S K 0 I J C H E 0 R 0 I P V Z U B A 0 H J I G O 0 B L 0 I S N U 0 L A Z O 0 L A T A
anonymous-20120106-lce/wav/ru_0094,сейчас же второй паук побежал из-за дома к деревьям поднимая коричневую пыльцу и ткнулся в колючую сеть стал биться в ней вытягивая ноги,S 0 I J C H A 0 Z Z H Y F T O 0 R A J P A U 0 K P A B 0 I Z H A 0 L Y Z A D O 0 M A G D 0 I R 0 E 0 V 0 J I M P A D 0 N 0 I M A 0 J A K A R 0 I 0 C H N 0 I V U J U P Y L 0 C U 0 I T K N U 0 L S 0 A F K A L 0 U 0 C H U J U S 0 E 0 T 0 S T A 0 L B 0 I 0 C A V N 0 E 0 J V Y T 0 A 0 G 0 I V A J A N O 0 G 0 I
anonymous-20120106-lce/wav/ru_0095,в гладких стенах узкие как щели глубокие отверстия окон,V G L A 0 T K 0 I H S 0 T 0 I N A 0 H U 0 S K 0 I J I K A 0 K S H 0 E 0 L 0 I G L U B O 0 K 0 I J I A T V 0 E 0 R S 0 T 0 I J A O 0 K A N
anonymous-20120106-lce/wav/ru_0099,они минули тёмный вестибюль и вошли в многоугольную высокую залу,A N 0 I 0 M 0 I N U 0 L 0 I T 0 O 0 M N Y J V 0 I S 0 T 0 I B 0 U 0 L 0 I V A S H L 0 I 0 V M N A G A U G O 0 L 0 N U J U V Y S O 0 K U J U Z A 0 L U
anonymous-20120210-bxb/wav/ru_0077,лось жадно вглядывался в эту сеть линий вот они сводящие с ума астрономов постоянно меняющиеся геометрически правильные непостигаемые каналы марса,L O 0 Z Z H A 0 D N A V G L 0 A 0 D Y V A L S 0 A V E 0 T U S 0 E 0 T 0 L 0 I 0 N 0 I J V O 0 T A N 0 I 0 S V A D 0 A 0 S H 0 I J I S U M A 0 A S T R A N O 0 M A F P A S T A J A 0 N A M 0 I N 0 A 0 J U S H 0 I J I S 0 A G 0 I A M 0 I T R 0 I 0 C H I S K 0 I P R A 0 V 0 I L 0 N Y J I N 0 I P A S 0 T 0 I G A 0 J I M Y J I K A N A 0 L Y M A 0 R S A
anonymous-20120210-bxb/wav/ru_0078,лось кинулся к реостатам попали алексей иванович притягиваемся падаем,L O 0 S 0 K 0 I 0 N U L S 0 A K R 0 I A S T A 0 T A M P A P A 0 L 0 I A L 0 I K S 0 E 0 J I V A 0 N A V 0 I C H P R 0 I T 0 A 0 G 0 I V A J I M S 0 A P A 0 D A J I M
anonymous-20120210-bxb/wav/ru_0079,казалось из чёрной бездны он сам теперь летел на них,K A Z A 0 L A S 0 I S C H O 0 R N A J B 0 E 0 Z N Y O 0 N S A 0 M T 0 I P 0 E 0 R 0 L 0 I T 0 E 0 L N A N 0 I 0 H
anonymous-20120210-bxb/wav/ru_0080,аппарат прорезывал облака над тусклой равниной и ревя и сотрясаясь медленно теперь опускался садимся успел только крикнуть лось и выключил двигатель,A P A R A 0 T P R A R 0 E 0 Z Y V A L A B L A K A 0 N A T U 0 S K L A J R A V N 0 I 0 N A J I R 0 I V 0 A 0 I S A T R 0 I S A 0 J I S 0 M 0 E 0 D 0 L 0 I N A T 0 I P 0 E 0 R 0 A P U S K A 0 L S 0 A S A 0 D 0 I M S 0 A U S P 0 E 0 L T O 0 L 0 K A K R 0 I 0 K N U T 0 L O 0 S 0 I V Y 0 K L 0 U C H I L D V 0 I 0 G A T 0 I L 0
anonymous-20120210-bxb/wav/ru_0081,мышь понемногу ожила подняла нос стала шевелить усами умылась,M Y 0 S H 0 P A N 0 I M N O 0 G U A Z H Y L A 0 P A D 0 N 0 I L A 0 N O 0 S T A 0 L A S H Y V 0 I L 0 I 0 T 0 U S A 0 M 0 I U M Y 0 L A S 0
anonymous-20120210-bxb/wav/ru_0082,покалывало грудь стучала кровь в виски но дышалось легко воздух был тонок и сух,P A K A 0 L Y V A L A G R U 0 T 0 S T U C H A 0 L A K R O 0 F 0 V V 0 I S K 0 I 0 N O 0 D Y S H A 0 L A S 0 L 0 I H K O 0 V O 0 Z D U H B Y 0 L T O 0 N A K Y S U 0 H
anonymous-20120210-bxb/wav/ru_0084,идти было необычайно легко хотя ноги и вязли по щиколотку в рассыпающей почве,I T 0 I 0 B Y 0 L A N 0 I A B Y C H A 0 J N A L 0 I H K O 0 H A T 0 A 0 N O 0 G 0 I V 0 A 0 Z 0 L 0 I P A S H 0 I 0 K A L A T K U V R A S Y P A 0 J U S H 0 I J P O 0 C H V 0 I
anonymous-20120210-bxb/wav/ru_0085,из-под ног выбегали животные похожие на каменных ящериц ярко оранжевые с зубчатым хребтом,I S P A D N O 0 K V Y 0 B 0 I G A L 0 I Z H Y V O 0 T N Y J I P A H O 0 Z H Y J I N A K A 0 M 0 I N Y H J A 0 S H 0 I R 0 I C J A 0 R K A R A 0 N Z H Y V Y J I Z U P C H A 0 T Y M H R 0 I P T O 0 M
anonymous-20120210-bxb/wav/ru_0086,несколько раз в гуще лапчатой заросли скользили кидались в сторону какие-то щетинистые клубки,N 0 E 0 S K A L 0 K A R A 0 S V G U 0 S H 0 I L A 0 P C H I T A J Z A 0 R A S 0 L 0 I S K A L 0 Z 0 I 0 L 0 I K 0 I D A 0 L 0 I S 0 F S T O 0 R A N U K A K 0 I 0 J I T A S H 0 I T 0 I 0 N 0 I S T Y J I K L U P K 0 I 0
anonymous-20120210-bxb/wav/ru_0087,отсюда была видна холмистая равнина того же апельсинового но более тусклого цвета,A C U 0 D A B Y L A 0 V 0 I 0 D N A H A L M 0 I 0 S T A J A R A V N 0 I 0 N A T A G O 0 Z H Y A P 0 I L 0 S 0 I 0 N A V A V A N O 0 B O 0 L 0 I J I T U 0 S K L A V A C V 0 E 0 T A
anonymous-20120223-mac/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
anonymous-20120223-mac/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
anonymous-20120223-mac/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
anonymous-20120223-mac/wav/ru_0040,лицо его в эту минуту казалось утомлённым лоб сморщился,L 0 I C O 0 J I G O 0 V E 0 T U M 0 I N U 0 T U K A Z A 0 L A S 0 U T A M L 0 O 0 N Y M L O 0 P S M O 0 R 0 S H 0 I L S 0 A
anonymous-20120223-mac/wav/ru_0041,через тысячу лет мой окоченелый труп влетит в её огненные океаны,C H I R 0 I S T Y 0 S 0 I C H U L 0 E 0 T M O 0 J A K A C H I N 0 E 0 L Y J T R U 0 P V L 0 I T 0 I 0 T V J I J O 0 G N 0 I N Y J I A K 0 I A 0 N Y
anonymous-20120223-mac/wav/ru_0042,ведь ад и есть моё безнадёжное одиночество распростёртое в вечной тьме,V 0 E 0 T 0 A 0 T Y J E 0 S 0 T 0 M A J O 0 B 0 I Z N A D 0 O 0 Z H N A J I A D 0 I N O 0 C H I S T V A R A S P R A S 0 T 0 O 0 R T A J I V V 0 E 0 C H N A J T 0 M 0 E 0
anonymous-20120223-mac/wav/ru_0043,лось вкратце рассказал ему об условиях перелёта предупредил о возможном риске,L O 0 S 0 F K R A 0 C Y R A S K A Z A 0 L J I M U 0 A B U S L O 0 V 0 I J I H P 0 I R 0 I L 0 O 0 T A P R 0 I D U P R 0 I D 0 I 0 L A V A Z M O 0 Z H N A M R 0 I 0 S K 0 I
anonymous-20120223-mac/wav/ru_0044,предложил обеспечить семью и выдать жалованье вперёд деньгами и продуктами,P R 0 I D L A Z H Y 0 L A B 0 I S P 0 E 0 C H I T 0 S 0 I M 0 J U 0 I V Y 0 D A D Z H A 0 L A V A N 0 J I F 0 P 0 I R 0 O 0 D D 0 E 0 N 0 G A M 0 I P R A D U 0 K T A M 0 I
anonymous-20120223-mac/wav/ru_0045,сначала думали что это следы бурь в магнитных полях земли,S N A C H A 0 L A D U 0 M A L 0 I S H T O E 0 T A S 0 L 0 I D Y 0 B U 0 R 0 V M A G N 0 I 0 T N Y H P A L 0 A 0 H Z 0 I M L 0 I 0
anonymous-20120223-mac/wav/ru_0046,одни и те же семена оседают на марс и на землю на все мириады остывающих звёзд,A D 0 N 0 I 0 I T 0 E 0 Z H Y S 0 I M 0 I N A 0 A S 0 I D A 0 J U T N A M A 0 R S Y N A Z 0 E 0 M L 0 U N A F S 0 E 0 M 0 I R 0 I A 0 D Y A S T Y V A 0 J U S H 0 I H Z V 0 O 0 Z T
anonymous-20120225-csu/wav/ru_0036,внутри этого второго кожаного стёганого яйца находились аппараты наблюдения и движения кислородные баки ящики для поглощения углекислоты полые подушки для инструментов и провизии,V N U T R 0 I 0 E 0 T A V A F T A R O 0 V A K O 0 Z H A N A V A S 0 T 0 O 0 G A N A V A J I J C A 0 N A H A D 0 I 0 L 0 I S 0 A P A R A 0 T Y N A B L 0 U D 0 E 0 N 0 I J A I D V 0 I Z H E 0 N 0 I J A K 0 I S L A R O 0 D N Y J I B A 0 K 0 I J A 0 S H 0 I K 0 I D 0 L 0 A P A G L A S H 0 E 0 N 0 I J A U G L 0 I K 0 I S L A T Y 0 P O 0 L Y J I P A D U 0 S H K 0 I D 0 L 0 A I N S T R U M 0 E 0 N T A V Y P R A V 0 I 0 Z 0 I
anonymous-20120225-csu/wav/ru_0037,таков в общих чертах был принцип движущего механизма это была ракета,T A K O 0 V O 0 P S H 0 I H C H I R T A 0 H B Y 0 L P R 0 I 0 N C Y B D V 0 I 0 Z H U S H 0 I V A M 0 I H A N 0 I 0 Z M A E 0 T A B Y L A 0 R A K 0 E 0 T A
anonymous-20120225-csu/wav/ru_0038,аванс шесть фельетонов по двести строк чек можете учесть в стокгольме,A V A 0 N S S H E 0 S 0 T 0 F 0 I L 0 J I T O 0 N A F P A D V 0 E 0 S 0 T 0 I S T R O 0 K C H E 0 K M O 0 Z H Y T 0 I U C H E 0 S 0 T 0 F S T A G O 0 L 0 M 0 I
anonymous-20120225-csu/wav/ru_0039,что у этой барышни было в голове не пойму до сих пор,S H T O U E 0 T A J B A 0 R Y S H N 0 I B Y 0 L A V G A L A V 0 E 0 N 0 I P A J M U 0 D A S 0 I 0 H P O 0 R
anonymous-20120225-csu/wav/ru_0040,лицо его в эту минуту казалось утомлённым лоб сморщился,L 0 I C O 0 J I G O 0 V E 0 T U M 0 I N U 0 T U K A Z A 0 L A S 0 U T A M L 0 O 0 N Y M L O 0 P S M O 0 R 0 S H 0 I L S 0 A
anonymous-20120225-csu/wav/ru_0041,через тысячу лет мой окоченелый труп влетит в её огненные океаны,C H I R 0 I S T Y 0 S 0 I C H U L 0 E 0 T M O 0 J A K A C H I N 0 E 0 L Y J T R U 0 P V L 0 I T 0 I 0 T V J I J O 0 G N 0 I N Y J I A K 0 I A 0 N Y
