автоби+знесы автоби+знэсы
те+ннис тэ+ннис
те+ннисами тэ+ннисами
те+ннисам тэ+ннисам
те+ннисе тэ+ннисе
те+ннисы тэ+ннисы
те+ннисах тэ+ннисах
те+ннисом тэ+ннисом

тенниси+стах тэнниси+стах
тенниси+ст тэнниси+ст
тенниси+стами тэнниси+стами
тенниси+стам тэнниси+стам
тенниси+стом тэнниси+стом
тенниси+сте тэнниси+сте
тенниси+сту тэнниси+сту
тенниси+сты тэнниси+сты
тенниси+ста тэнниси+ста
тенниси+стов тэнниси+стов

тенниси+сткой тэнниси+сткой
тенниси+стку тэнниси+стку
тенниси+сток тэнниси+сток
тенниси+стками тэнниси+стками
тенниси+стки тэнниси+стки
тенниси+сткам тэнниси+сткам
тенниси+стках тэнниси+стках
тенниси+стке тэнниси+стке
тенниси+стка тэнниси+стка
тенниси+сткою тэнниси+сткою

те+нниске тэ+нниске
те+нниска тэ+нниска
те+ннискам тэ+ннискам
те+ннискою тэ+ннискою
те+нниску тэ+нниску
те+ннисках тэ+ннисках
те+нниски тэ+нниски
те+ннисками тэ+ннисками
те+ннисок тэ+ннисок
те+нниской тэ+нниской

те+ннисного тэ+ннисного
те+ннисной тэ+ннисной
те+ннисному тэ+ннисному
поте+нниснее потэ+нниснее
те+ннисным тэ+ннисным
те+ннисней тэ+ннисней
те+ннисное тэ+ннисное
те+ннисно тэ+ннисно
те+ннисна тэ+ннисна
те+ннисен тэ+ннисэн
те+ннисны тэ+ннисны
поте+ннисней потэ+ннисней
те+ннисные тэ+ннисные
те+ннисном тэ+ннисном
те+ннисный тэ+ннисный
те+нниснее тэ+нниснее
те+ннисную тэ+ннисную
те+ннисною тэ+ннисною
те+ннисная тэ+ннисная
те+ннисными тэ+ннисными
те+ннисных тэ+ннисных

тенденцио+зность тэндэ+нцио+зность
тенденцио+зностях тэндэ+нцио+зностях
тенденцио+зности тэндэ+нцио+зности
тенденцио+зностью тэндэ+нцио+зностью
тенденцио+зностями тэндэ+нцио+зностями
тенденцио+зностям тэндэ+нцио+зностям
тенденцио+зностей тэндэ+нцио+зностей

тенденцио+зной тэндэ+нцио+зной
потенденцио+знее потэ+ндэнцио+знее
тенденцио+зном тэндэ+нцио+зном
тенденцио+зные тэндэ+нцио+зные
тенденцио+зная тэндэ+нцио+зная
тенденцио+зною тэндэ+нцио+зною
тенденцио+зный тэндэ+нцио+зный
тенденцио+зно тэндэ+нцио+зно
тенденцио+зных тэндэ+нцио+зных
тенденцио+зней тэндэ+нцио+зней
тенденцио+зна тэндэ+нцио+зна
тенденцио+зны тэндэ+нцио+зны
тенденцио+зного тэндэ+нцио+зного
тенденцио+зным тэндэ+нцио+зным
тенденцио+зному тэндэ+нцио+зному
тенденцио+зен тэндэ+нцио+зэн
тенденцио+зную тэндэ+нцио+зную
тенденцио+знее тэндэ+нцио+знее
тенденцио+зными тэндэ+нцио+зными
потенденцио+зней потэндэ+нцио+зней
тенденцио+зное тэндэ+нцио+зное

тенде+нциями тэндэ+нциями
тенде+нциях тэндэ+нциях
тенде+нция тэндэ+нция
тенде+нциею тэндэ+нциею
тенде+нцию тэндэ+нцию
тенде+нции тэндэ+нции
тенде+нциям тэндэ+нциям
тенде+нцией тэндэ+нцией
тенде+нций тэндэ+нций

те+ндеров тэ+ндэров
те+ндерам тэ+ндэрам
те+ндером тэ+ндэром
те+ндеры тэ+ндэры
те+ндеру тэ+ндэру
те+ндере тэ+ндэре
те+ндерах тэ+ндэрах
те+ндер тэ+ндэр
те+ндера тэ+ндэра
те+ндерами тэ+ндэрами

те+ндерной тэ+ндэрной
те+ндернее тэ+ндэрнее
те+ндерны тэ+ндэрны
те+ндерное тэ+ндэрное
те+ндерном тэ+ндэрном
те+ндерные тэ+ндэрные
те+ндерный тэ+ндэрный
те+ндерным тэ+ндэрным
те+ндерных тэ+ндэрных
те+ндерная тэ+ндэрная
те+ндерно тэ+ндэрно
те+ндерному тэ+ндэрному
те+ндерней тэ+ндэрней
те+ндерна тэ+ндэрна
поте+ндерней потэ+ндэрней
те+ндерен тэ+ндэрэн
те+ндерною тэ+ндэрною
те+ндерными тэ+ндэрными
те+ндерную тэ+ндэрную
поте+ндернее потэ+ндэрнее
те+ндерного тэ+ндэрного

те+рмоси+нтезам те+рмоси+нтэзам
те+рмоси+нтез те+рмоси+нтэз
те+рмоси+нтезах те+рмоси+нтэзах
те+рмоси+нтезов те+рмоси+нтэзов
те+рмоси+нтезы те+рмоси+нтэзы
те+рмоси+нтезом те+рмоси+нтэзом
те+рмоси+нтезами те+рмоси+нтэзами
те+рмоси+нтеза те+рмоси+нтэза
те+рмоси+нтезе те+рмоси+нтэзе
те+рмоси+нтезу те+рмоси+нтэзу

те+ста тэ+ста
те+сты тэ+сты
те+стов тэ+стов
те+стами тэ+стами
те+сте тэ+сте
те+сту тэ+сту
те+ст тэ+ст
те+стах тэ+стах
те+стом тэ+стом
те+стам тэ+стам

те+ст-а+кту тэ+ст-а+кту
те+ст-а+ктом тэ+ст-а+ктом
те+ст-а+кте тэ+ст-а+кте
те+ст-а+ктам тэ+ст-а+ктам
те+ст-а+ктами тэ+ст-а+ктами
те+ст-а+ктов тэ+ст-а+ктов
те+ст-а+ктах тэ+ст-а+ктах
те+ст-а+кты тэ+ст-а+кты
те+ст-а+кт тэ+ст-а+кт
те+ст-а+кта тэ+ст-а+кта

те+ст-до+зою тэ+ст-до+зою
те+ст-до+за тэ+ст-до+за
те+ст-до+зы тэ+ст-до+зы
те+ст-до+зу тэ+ст-до+зу
те+ст-до+зах тэ+ст-до+зах
те+ст-до+зой тэ+ст-до+зой
те+ст-до+зам тэ+ст-до+зам
те+ст-до+зами тэ+ст-до+зами
те+ст-до+зе тэ+ст-до+зе
те+ст-до+з тэ+ст-до+з

те+ст-систе+мой тэ+ст-систе+мой
те+ст-систе+му тэ+ст-систе+му
те+ст-систе+мами тэ+ст-систе+мами
те+ст-систе+ме тэ+ст-систе+ме
те+ст-систе+ма тэ+ст-систе+ма
те+ст-систе+м тэ+ст-систе+м
те+ст-систе+мам тэ+ст-систе+мам
те+ст-систе+мах тэ+ст-систе+мах
те+ст-систе+мы тэ+ст-систе+мы
те+ст-систе+мою тэ+ст-систе+мою

те+ст-табли+цу тэ+ст-табли+цу
те+ст-табли+це тэ+ст-табли+це
те+ст-табли+цам тэ+ст-табли+цам
те+ст-табли+ц тэ+ст-табли+ц
те+ст-табли+ца тэ+ст-табли+ца
те+ст-табли+цею тэ+ст-табли+цею
те+ст-табли+цы тэ+ст-табли+цы
те+ст-табли+цах тэ+ст-табли+цах
те+ст-табли+цей тэ+ст-табли+цей
те+ст-табли+цами тэ+ст-табли+цами

те+стере тэ+стере
те+стерами тэ+стерами
те+стерам тэ+стерам
те+стером тэ+стером
те+стерах тэ+стерах
те+стеры тэ+стеры
те+стера тэ+стера
те+стеров тэ+стеров
те+стеру тэ+стеру
те+стер тэ+стер

тести+рования тэсти+рования
тести+рованию тэсти+рованию
тести+рованием тэсти+рованием
тести+ровании тэсти+ровании
тести+рование тэсти+рование

тести+рованным тэсти+рованным
тести+рующих тэсти+рующих
тести+руемую тэсти+руемую
тести+ровавши тэсти+ровавши
тести+руемой тэсти+руемой
тести+руешь тэсти+руешь
тести+рованными тэсти+рованными
тести+рующими тэсти+рующими
тести+ровали тэсти+ровали
тести+руй тэсти+руй
тести+руют тэсти+руют
тести+рующую тэсти+рующую
тести+рующему тэсти+рующему
тести+руйте тэсти+руйте
тести+рующие тэсти+рующие
тести+рующею тэсти+рующею
тести+руемые тэсти+руемые
тести+ровало тэсти+ровало
тести+руемыми тэсти+руемыми
тести+руема тэсти+руэма
тести+рованное тэсти+рованное
тести+руемом тэсти+руемом
тести+ровавшему тэсти+ровавшему
тести+ровавшею тэсти+ровавшею
тести+руемый тэсти+руемый
тести+ровавшим тэсти+ровавшим
тести+рованного тэсти+рованного
тести+рованной тэсти+рованной
тести+ровал тэсти+ровал
тести+рованная тэсти+рованная
тести+руемому тэсти+руемому
тести+рующей тэсти+рующей
тести+ровать тэсти+ровать
тести+ровавшего тэсти+ровавшэго
тести+ровала тэсти+ровала
тести+рованном тэсти+рованном
тести+рованных тэсти+рованных
тести+рую тэсти+рую
тести+ровавшими тэсти+ровавшими
тести+рованный тэсти+рованный
тести+рованы тэсти+рованы
тести+рует тэсти+руэт
тести+руемым тэсти+руемым
тести+руемого тэсти+руэмого
тести+рующий тэсти+рующий
тести+ровавшее тэсти+ровавшее
тести+руемая тэсти+руэмая
тести+руете тэсти+руэте
тести+руемое тэсти+руэмое
тести+рованные тэсти+рованные
тести+рованную тэсти+рованную
тести+ровавшая тэсти+ровавшая
тести+ровавшую тэсти+ровавшую
тести+руемо тэсти+руэмо
тести+рующее тэсти+рующее
тести+рованною тэсти+рованною
тести+ровавшем тэсти+ровавшем
тести+рующем тэсти+рующем
тести+ровавший тэсти+ровавший
тести+руя тэсти+руя
тести+руем тэсти+руем
тести+рующая тэсти+рующая
тести+рован тэсти+рован
тести+ровавшие тэсти+ровавшие
тести+ровано тэсти+ровано
тести+руемою тэсти+руэмою
тести+руемых тэсти+руемых
тести+рующего тэсти+рующэго
тести+рована тэсти+рована
тести+рованному тэсти+рованному
тести+ровавшей тэсти+ровавшей
тести+ровавших тэсти+ровавших
тести+руемы тэсти+руемы
тести+рующим тэсти+рующим

тести+руешься тэсти+руешься
тести+ровавшийся тэсти+ровавшийся
тести+ровался тэсти+ровался
тести+рующимися тэсти+рующимися
тести+ровавшимися тэсти+ровавшимися
тести+ровавшаяся тэсти+ровавшаяся
тести+ровавшуюся тэсти+ровавшуюся
тести+рующемуся тэсти+рующемуся
тести+рующимся тэсти+рующимся
тести+руясь тэсти+руясь
тести+рующемся тэсти+рующэмся
тести+ровалось тэсти+ровалось
тести+ровавшееся тэсти+ровавшээся
тести+рующейся тэсти+рующэйся
тести+ровавшегося тэсти+ровавшэгося
тести+рующуюся тэсти+рующуюся
тести+ровавшимся тэсти+ровавшимся
тести+рующегося тэсти+рующэгося
тести+ровавшемся тэсти+ровавшэмся
тести+рующеюся тэсти+рующэюся
тести+ровавшейся тэсти+ровавшэйся
тести+руются тэсти+руются
тести+руйтесь тэсти+руйтэсь
тести+ровавшихся тэсти+ровавшихся
тести+ровалась тэсти+ровалась
тести+руемся тэсти+руэмся
тести+роваться тэсти+роваться
тести+руюсь тэсти+руюсь
тести+рующаяся тэсти+рующаяся
тести+ровавшись тэсти+ровавшись
тести+ровавшиеся тэсти+ровавшиэся
тести+рующееся тэсти+рующээся
тести+руетесь тэсти+руэтэсь
тести+ровались тэсти+ровались
тести+руйся тэсти+руйся
тести+рующиеся тэсти+рующиэся
тести+ровавшемуся тэсти+ровавшемуся
тести+руется тэсти+руэтся
тести+ровавшеюся тэсти+ровавшэюся
тести+рующийся тэсти+рующийся
тести+рующихся тэсти+рующихся

те+стовыми тэ+стовыми
те+стовым тэ+стовым
те+стовую тэ+стовую
те+стовому тэ+стовому
те+стовая тэ+стовая
те+стовое тэ+стовое
те+стовом тэ+стовом
те+стовою тэ+стовою
те+стовой тэ+стовой
те+стового тэ+стового
те+стовый тэ+стовый
те+стовых тэ+стовых
те+стовые тэ+стовые

тестостеро+нам тэстостэро+нам
тестостеро+нах тэстостэро+нах
тестостеро+на тэстостэро+на
тестостеро+ну тэстостэро+ну
тестостеро+нов тэстостэро+нов
тестостеро+ном тэстостэро+ном
тестостеро+ны тэстостэро+ны
тестостеро+не тэстостэро+не
тестостеро+н тэстостэро+н
тестостеро+нами тэстостэро+нами

филатели+зму филатэли+зму
филатели+змах филатэли+змах
филатели+змами филатэли+змами
филатели+змов филатэли+змов
филатели+зм филатэли+зм
филатели+зме филатэли+зме
филатели+змом филатэли+змом
филатели+змы филатэли+змы
филатели+змам филатэли+змам
филатели+зма филатэли+зма

филатели+ст филатэли+ст
филатели+ста филатэли+ста
филатели+стах филатэли+стах
филатели+стов филатэли+стов
филатели+сты филатэли+сты
филатели+стам филатэли+стам
филатели+стом филатэли+стом
филатели+сте филатэли+сте
филатели+сту филатэли+сту
филатели+стами филатэли+стами

филателисти+чески филатэлисти+чески
филателисти+ческим филатэлисти+ческим
филателисти+ческому филатэлисти+ческому
филателисти+ческими филатэлисти+ческими
филателисти+ческая филатэлисти+ческая
филателисти+ческом филатэлисти+ческом
филателисти+ческие филатэлисти+ческие
филателисти+ческою филатэлисти+ческою
филателисти+ческий филатэлисти+ческий
филателисти+ческой филатэлисти+ческой
филателисти+ческих филатэлисти+ческих
филателисти+ческую филатэлисти+ческую
филателисти+ческого филатэлисти+ческого
филателисти+ческое филатэлисти+ческое

филатели+стках филатэли+стках
филатели+сток филатэли+сток
филатели+стками филатэли+стками
филатели+стке филатэли+стке
филатели+сткам филатэли+сткам
филатели+сткой филатэли+сткой
филатели+сткою филатэли+сткою
филатели+стки филатэли+стки
филатели+стка филатэли+стка
филатели+стку филатэли+стку

филатели+стском филатэли+стском
филатели+стские филатэли+стские
филатели+стской филатэли+стской
филатели+стскому филатэли+стскому
филатели+стский филатэли+стский
филатели+стское филатэли+стское
филатели+стскую филатэли+стскую
филатели+стскими филатэли+стскими
филатели+стских филатэли+стских
филатели+стски филатэли+стски
филатели+стским филатэли+стским
филатели+стского филатэли+стского
филатели+стская филатэли+стская
филатели+стскою филатэли+стскою

филатели+и филатэли+и
филатели+ям филатэли+ям
филатели+й филатэли+й
филатели+ю филатэли+ю
филатели+ях филатэли+ях
филатели+ей филатэли+ей
филатели+я филатэли+я
филатели+ями филатэли+ями
филатели+ею филатэли+ею

фортепья+но фортэпья+но

фотоси+нтезам фотоси+нтэзам
фотоси+нтезах фотоси+нтэзах
фотоси+нтезов фотоси+нтэзов
фотоси+нтезу фотоси+нтэзу
фотоси+нтезом фотоси+нтэзом
фотоси+нтезе фотоси+нтэзе
фотоси+нтеза фотоси+нтэза
фотоси+нтезы фотоси+нтэзы
фотоси+нтез фотоси+нтэз
фотоси+нтезами фотоси+нтэзами

фотосинтези+рующую фотосинтэзи+рующую
фотосинтези+рующей фотосинтэзи+рующей
фотосинтези+рующий фотосинтэзи+рующий
фотосинтези+рующими фотосинтэзи+рующими
фотосинтези+рующая фотосинтэзи+рующая
фотосинтези+рующему фотосинтэзи+рующему
фотосинтези+рующие фотосинтэзи+рующие
фотосинтези+рующею фотосинтэзи+рующею
фотосинтези+рующее фотосинтэзи+рующее
фотосинтези+рующих фотосинтэзи+рующих
фотосинтези+рующе фотосинтэзи+рующе
фотосинтези+рующего фотосинтэзи+рующэго
фотосинтези+рующим фотосинтэзи+рующим
фотосинтези+рующем фотосинтэзи+рующем

фотосинтети+ческими фотосинтэти+ческими
фотосинтети+ческая фотосинтэти+ческая
фотосинтети+ческом фотосинтэти+ческом
фотосинтети+ческую фотосинтэти+ческую
фотосинтети+ческих фотосинтэти+ческих
фотосинтети+ческой фотосинтэти+ческой
фотосинтети+ческий фотосинтэти+ческий
фотосинтети+ческое фотосинтэти+ческое
фотосинтети+ческие фотосинтэти+ческие
фотосинтети+ческому фотосинтэти+ческому
фотосинтети+ческим фотосинтэти+ческим
фотосинтети+ческою фотосинтэти+ческою
фотосинтети+ческого фотосинтэти+ческого
фотосинтети+чески фотосинтэти+чески

фрикаде+лям фрикадэ+лям
фрикаде+лями фрикадэ+лями
фрикаде+ли фрикадэ+ли
фрикаде+лях фрикадэ+лях
фрикаде+ль фрикадэ+ль
фрикаде+лей фрикадэ+лей
фрикаде+лью фрикадэ+лью

фрикаде+лька фрикадэ+лька
фрикаде+льке фрикадэ+льке
фрикаде+льках фрикадэ+льках
фрикаде+льку фрикадэ+льку
фрикаде+лек фрикадэ+лэк
фрикаде+лькам фрикадэ+лькам
фрикаде+льками фрикадэ+льками
фрикаде+лькой фрикадэ+лькой
фрикаде+лькою фрикадэ+лькою
фрикаде+льки фрикадэ+льки

фрикасе+ фрикасэ+

хемоси+нтезами хэмоси+нтэзами
хемоси+нтезом хэмоси+нтэзом
хемоси+нтезам хэмоси+нтэзам
хемоси+нтез хэмоси+нтэз
хемоси+нтезов хэмоси+нтэзов
хемоси+нтезу хэмоси+нтэзу
хемоси+нтеза хэмоси+нтэза
хемоси+нтезах хэмоси+нтэзах
хемоси+нтезе хэмоси+нтэзе
хемоси+нтезы хэмоси+нтэзы

хемосинтези+рующему хэмосинтэзи+рующему
хемосинтези+рующих хэмосинтэзи+рующих
хемосинтези+рующая хэмосинтэзи+рующая
хемосинтези+рующие хэмосинтэзи+рующие
хемосинтези+рующее хэмосинтэзи+рующее
хемосинтези+рующем хэмосинтэзи+рующем
хемосинтези+рующий хэмосинтэзи+рующий
хемосинтези+рующе хэмосинтэзи+рующе
хемосинтези+рующею хэмосинтэзи+рующею
хемосинтези+рующими хэмосинтэзи+рующими
хемосинтези+рующего хэмосинтэзи+рующэго
хемосинтези+рующей хэмосинтэзи+рующей
хемосинтези+рующим хэмосинтэзи+рующим
хемосинтези+рующую хэмосинтэзи+рующую

что+ што+

что+бы што+бы

чу+вственниками чу+ственниками
чу+вственник чу+ственник
чу+вственника чу+ственника
чу+вственниках чу+ственниках
чу+вственнике чу+ственнике
чу+вственником чу+ственником
чу+вственнику чу+ственнику
чу+вственников чу+ственников
чу+вственникам чу+ственникам
чу+вственники чу+ственники

чу+вственно-мото+рного чу+ственно-мото+рного
чу+вственно-мото+рной чу+ственно-мото+рной
чу+вственно-мото+рным чу+ственно-мото+рным
чу+вственно-мото+рный чу+ственно-мото+рный
чу+вственно-мото+рные чу+ственно-мото+рные
чу+вственно-мото+рных чу+ственно-мото+рных
чу+вственно-мото+рными чу+ственно-мото+рными
чу+вственно-мото+рны чу+ственно-мото+рны
чу+вственно-мото+рное чу+ственно-мото+рное
чу+вственно-мото+рном чу+ственно-мото+рном
чу+вственно-мото+рному чу+ственно-мото+рному
чу+вственно-мото+рно чу+ственно-мото+рно
чу+вственно-мото+рен чу+ственно-мото+рэн
чу+вственно-мото+рна чу+ственно-мото+рна
чу+вственно-мото+рную чу+ственно-мото+рную
чу+вственно-мото+рная чу+ственно-мото+рная
чу+вственно-мото+рною чу+ственно-мото+рною

чу+вственность чу+ственность
чу+вственностью чу+ственностью
чу+вственности чу+ственности
чу+вственностях чу+ственностях
чу+вственностями чу+ственностями
чу+вственностей чу+ственностей
чу+вственностям чу+ственностям

чу+вственному чу+ственному
почу+вственней почу+ственней
чу+вственным чу+ственным
почу+вственнее почу+ственнее
чу+вственные чу+ственные
чу+вственную чу+ственную
чу+вственен чу+ственен
чу+вственною чу+ственною
чу+вственное чу+ственное
чу+вственный чу+ственный
чу+вственная чу+ственная
чу+вственно чу+ственно
чу+вствен чу+ствен
чу+вственней чу+ственней
чу+вственны чу+ственны
чу+вственнее чу+ственнее
чу+вственных чу+ственных
чу+вственного чу+ственного
чу+вственными чу+ственными
чу+вственна чу+ственна
чу+вственной чу+ственной
чу+вственном чу+ственном

шестьдеся+т шезьдэся+т

шестьсо+т шэссо+т

шоссе+ шоссэ+

экоси+нтезу экоси+нтэзу
экоси+нтезам экоси+нтэзам
экоси+нтез экоси+нтэз
экоси+нтезом экоси+нтэзом
экоси+нтезов экоси+нтэзов
экоси+нтеза экоси+нтэза
экоси+нтезах экоси+нтэзах
экоси+нтезами экоси+нтэзами
экоси+нтезы экоси+нтэзы
экоси+нтезе экоси+нтэзе

электроси+нтезы элэктроси+нтэзы
электроси+нтезу элэктроси+нтэзу
электроси+нтезах элэктроси+нтэзах
электроси+нтезами элэктроси+нтэзами
электроси+нтез элэктроси+нтэз
электроси+нтезам элэктроси+нтэзам
электроси+нтезом элэктроси+нтэзом
электроси+нтеза элэктроси+нтэза
электроси+нтезе элэктроси+нтэзе
электроси+нтезов элэктроси+нтэзов

Юне+ско Юнэ+ско

мя+гкий мя+хкий
мя+гкая мя+хкая
мя+гкое мя+хкое
мя+гкие мя+хкие
мя+гкого мя+хкого
мя+гкой мя+хкой
мя+гкого мя+хкого
мя+гких мя+хких
мя+гкому мя+хкому
мя+гкой мя+хкой
мя+гким мя+хким
мя+гкий мя+хкий
мя+гкую мя+хкую
мя+гкою мя+хкою
мя+гкими мя+хкими
мя+гком мя+хком
мягка+ мяхка+
мя+гко мя+хко
мягки+ мяхки+
мя+гче мя+хче
помя+гче помя+хче

лё+гкий лё+хкий
лё+гкая лё+хкая
лё+гкое лё+хкое
лё+гкие лё+хкие
лё+гкого лё+хкого
лё+гкой лё+хкой
лё+гкого лё+хкого
лё+гких лё+хких
лё+гкому лё+хкому
лё+гкой лё+хкой
лё+гким лё+хким
лё+гкий лё+хкий
лё+гкую лё+хкую
лё+гкою лё+хкою
лё+гкими лё+хкими
лё+гком лё+хком
легка+ лехка+
легко+ лехко+
легки+ лехки+
ле+гче ле+хче
поле+гче поле+хче
